,title,company,job_type,location,link
54,2023년 메타버스 아카데미 2기 교육생의 전체 세부 정보,한국전파진흥협회,신입공채 +1,성남 분당구,https://kr.indeed.com/rc/clk?jk=39d19b49e76b203d&fccid=4f2ea8d6d8ab34ba&vjs=3
55,데이터 분석 (3년이상)의 전체 세부 정보,쿡앱스,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=939e76714fdc8047&fccid=f03a85dc12a1bd6e&vjs=3
56,리눅스 프로그램 개발자의 전체 세부 정보,안랩,,성남 분당구,https://kr.indeed.com/rc/clk?jk=b481558aae2304d3&fccid=0b88b2af6686dd2b&vjs=3
57,Junior Data Scientist의 전체 세부 정보,Logistics Management Institute,,서울,https://kr.indeed.com/rc/clk?jk=ffcab40699b79c6b&fccid=12626f295bf6a003&vjs=3
58,"Applications Engineer, II의 전체 세부 정보",Synopsys,,경기도 용인,https://kr.indeed.com/rc/clk?jk=b4814b06f71bb302&fccid=6ce9eba87609c3e9&vjs=3
59,Staff Software Applications Engineer의 전체 세부 정보,Synaptics,,서울,https://kr.indeed.com/rc/clk?jk=115868b6c66aca9d&fccid=adec49a5729b60f3&vjs=3
60,Data Scientist의 전체 세부 정보,이몰디노,정규직,서울 중구,https://kr.indeed.com/rc/clk?jk=377c5ba87cf475d8&fccid=8211d0d9599042ef&vjs=3
61,[AI Lab] AI Assistant 자연어이해 모델 연구/개발자 영입의 전체 세부 정보,카카오엔터프라이즈,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=ac3bc0465977b363&fccid=e19aa33fc391b310&vjs=3
62,"Student Researcher, PhD, 2023의 전체 세부 정보",구글코리아,정규직 +1,서울 강남구,https://kr.indeed.com/rc/clk?jk=f688085bf5b95500&fccid=28712efe9a7c8d8a&vjs=3
63,[SAPEON Korea] Frontend Compiler Engineer의 전체 세부 정보,사피온코리아,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=25efb0f8ef36cbda&fccid=3e45ffdcf8435b2d&vjs=3
64,[전문연구요원] 의료영상 리서치 엔지니어 정규직의 전체 세부 정보,메디픽셀,신입공채,서울 마포구,https://kr.indeed.com/rc/clk?jk=3544467a7b64376f&fccid=aba88c202493b8a5&vjs=3
65,Python 분석 인원 정규직 채용의 전체 세부 정보,(주)스마트모빌러티 관심기업,정규직,서울 휘경동,https://kr.indeed.com/rc/clk?jk=5e761f105a377ae8&fccid=307824036b9dcb17&vjs=3
66,[KR] 파이썬 백엔드 엔지니어(2022)의 전체 세부 정보,올거나이즈코리아,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=baa873f6faa24d95&fccid=707decd4d5b2755e&vjs=3
67,2023년 (주)하람아이 AI팀의 전체 세부 정보,하람아이,정규직,성남 수정구,https://kr.indeed.com/rc/clk?jk=f1a40936df480707&fccid=5d0ea4093a1ed598&vjs=3
68,[인텔리전스랩스] 탐지응용팀 백엔드 개발자 (Python/Go)의 전체 세부 정보,Nexon,,경기도 성남,https://kr.indeed.com/rc/clk?jk=4ce79aa71969b913&fccid=aba87288e4cc3687&vjs=3
69,[외국계 스타트업 미소] Data Analyst의 전체 세부 정보,유한회사 미소,정규직,서울,https://kr.indeed.com/rc/clk?jk=ec5c7ccd76639120&fccid=02936474a8d39137&vjs=3
70,KB자산운용 다이렉트인덱싱부문 (~3/19)의 전체 세부 정보,KB자산운용,정규직,서울 영등포구,https://kr.indeed.com/rc/clk?jk=b9702d74304a3c22&fccid=846186c5b49d7bef&vjs=3
71,딥러닝 통한 인공지능 솔루션 개발자의 전체 세부 정보,엘세븐시큐리티,신입공채 +1,서울 송파구,https://kr.indeed.com/rc/clk?jk=554e814302b8a380&fccid=72880ee98034ba13&vjs=3
72,백엔드 엔지니어의 전체 세부 정보,에이블리코퍼레이션,,서울,https://kr.indeed.com/rc/clk?jk=8ee64063e0a30d75&fccid=e98e3bb42308e608&vjs=3
73,제이앤투자자문 애널리스트 형 인턴의 전체 세부 정보,제이앤투자자문,신입공채,서울 강남구,https://kr.indeed.com/rc/clk?jk=94d6cf2f9cb5c96d&fccid=358b2a1e078812ce&vjs=3
74,[신입/경력] 인프라 엔지니어의 전체 세부 정보,구름,신입공채 +1,성남 분당구,https://kr.indeed.com/rc/clk?jk=7ad0475e5038f982&fccid=93116efd0859e0ce&vjs=3
75,"Senior Open Source Developer & DevOps (Python, Django, React, AWS/OpenStack)",OpenCraft,,Anywhere in the World,https://weworkremotely.com/remote-jobs/opencraft-senior-open-source-developer-devops-python-django-react-aws-openstack
76,Senior Python Engineer: Long-term job - 100% remote,Proxify AB,,Anywhere in the World,https://weworkremotely.com/remote-jobs/proxify-ab-senior-python-engineer-long-term-job-100-remote
77,Full Stack Software Engineer (React / Python),Trustworthy,,Anywhere in the World,https://weworkremotely.com/remote-jobs/trustworthy-full-stack-software-engineer-react-python
78,Python Platform Engineer,Doximity,,Americas Only,https://weworkremotely.com/remote-jobs/doximity-python-platform-engineer
79,"Software Engineer in Test – Python – Cyprus, Greece or Remote ",XM,,Anywhere in the World,https://weworkremotely.com/remote-jobs/xm-software-engineer-in-test-python-cyprus-greece-or-remote-2
