,title,company,job_type,location,link
47,스마트팜 제어 개발자의 전체 세부 정보,어밸브,정규직,서울 서초구,https://kr.indeed.com/company/%EC%96%B4%EB%B0%B8%EB%B8%8C/jobs/%EC%8A%A4%EB%A7%88%ED%8A%B8%ED%8C%9C-%EC%A0%9C%EC%96%B4-%EA%B0%9C%EB%B0%9C%EC%9E%90-a66b6a504d169dab?fccid=90e59c5d7146f2da&vjs=3
48,Embedded Software Engineer의 전체 세부 정보,GE Appliances,정규직,경기도 성남,https://kr.indeed.com/rc/clk?jk=bcd98d4ae5305918&fccid=6a7f2fa034a3fd36&vjs=3
49,[위메프] 보안 모의해킹 담당자의 전체 세부 정보,위메프,,대한민국,https://kr.indeed.com/rc/clk?jk=4add0a33dc149352&fccid=2f8799a5ef214646&vjs=3
50,ML Research Engineer의 전체 세부 정보,Dunamu,,서울,https://kr.indeed.com/rc/clk?jk=8c99bf38a5c8604c&fccid=54c9c086b03b7cdc&vjs=3
51,데이터 플랫폼 엔지니어 (Data Platform Engineer)의 전체 세부 정보,Dunamu,,서울,https://kr.indeed.com/rc/clk?jk=55ada515930b1447&fccid=54c9c086b03b7cdc&vjs=3
52,"웹개발자 - 백엔드(Node.js , Python) , 웹 그래픽 엔지니어( Three.js, WebGL)의 전체 세부 정보",이지웹,정규직,서울 마포구,https://kr.indeed.com/rc/clk?jk=207ac1ebdc8aaf0b&fccid=7e33dcdfbaf465a5&vjs=3
53,소프트웨어품질관리 경력 정규직의 전체 세부 정보,가이아쓰리디,정규직,서울 금천구,https://kr.indeed.com/rc/clk?jk=602e719812bb6739&fccid=6d7c3d2482739eed&vjs=3
54,드론 개발자의 전체 세부 정보,어밸브,정규직,서울 서초구,https://kr.indeed.com/company/%EC%96%B4%EB%B0%B8%EB%B8%8C/jobs/%EB%93%9C%EB%A1%A0-%EA%B0%9C%EB%B0%9C%EC%9E%90-7011abd57fbd4a10?fccid=90e59c5d7146f2da&vjs=3
55,서비스 관리 인턴 (6개월)의 전체 세부 정보,세컨신드롬,계약직,서울 강남구,https://kr.indeed.com/rc/clk?jk=00445e32f3a7f194&fccid=ba14407ca9412d5e&vjs=3
56,그로스 해커의 전체 세부 정보,세컨신드롬,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=abd0d5822aeb715e&fccid=ba14407ca9412d5e&vjs=3
57,프론트엔드 개발자 정규직 경력사원 공개채용의 전체 세부 정보,한겨레,정규직,서울 공덕동,https://kr.indeed.com/rc/clk?jk=db1f9a6e9e8a5f39&fccid=662f4245f149cfbe&vjs=3
58,스트리밍 데이터 서비스 개발자 모집의 전체 세부 정보,엔씨소프트,,성남 판교역,https://kr.indeed.com/rc/clk?jk=26bf1fcca30cec24&fccid=a1e4e21b1f33cf40&vjs=3
59,글로벌 ESG 플랫폼 모바일 개발자의 전체 세부 정보,레스토랑허브,정규직,서울 서초구,https://kr.indeed.com/rc/clk?jk=576dbbb2c85128bd&fccid=42a4c18c021bbe26&vjs=3
60,[위메프서비스] 주문/결제/정산 백엔드 개발자의 전체 세부 정보,위메프,,대한민국,https://kr.indeed.com/rc/clk?jk=c80b08dd96d9be11&fccid=2f8799a5ef214646&vjs=3
