,title,company,job_type,location,link
50,현대로템 부문별 신입/경력사원 디펜스솔루션의 전체 세부 정보,현대로템,신입공채 +1,경기도 의왕,https://kr.indeed.com/rc/clk?jk=312da53c9abf2bca&fccid=e011c23f637a8f7a&vjs=3
51,그룹공동 마이데이터 분석 플랫폼(데이터분석가)의 전체 세부 정보,KB데이타시스템,정규직,서울 마포구,https://kr.indeed.com/rc/clk?jk=25b3c3e6a66bd77c&fccid=fe227fbd2afb9580&vjs=3
52,Computer Vision 알고리즘 엔지니어 (머신러닝/딥러닝)의 전체 세부 정보,넥스트칩,신입공채 +1,성남 분당구,https://kr.indeed.com/rc/clk?jk=425fb34a3ebae7f0&fccid=bf5d4c507636ffc1&vjs=3
53,[경력] 컴퓨터비전 딥러닝/AI R&D 엔지니어 (석사이상)의 전체 세부 정보,구름,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=a38b88b06aa50d4d&fccid=93116efd0859e0ce&vjs=3
54,데이터 엔지니어 - 데이터 Biz (대규모 )의 전체 세부 정보,한국카카오은행,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=fc1991e05fc699fb&fccid=aea6a13a3459fdb2&vjs=3
55,[Engineering Div.] Data Analyst (경력 무관)의 전체 세부 정보,크래프톤,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=3ccbc30d82ce5848&fccid=0aeb279b74dee723&vjs=3
56,"인공지능(AI), 빅데이터 외 신입/경력 계약직의 전체 세부 정보",피디젠,신입공채 +2,수원 팔달구,https://kr.indeed.com/rc/clk?jk=6512673261825b13&fccid=3ccb66b4b32b22a5&vjs=3
57,데이터 분석 (3년이상)의 전체 세부 정보,쿡앱스,정규직,성남 분당구,https://kr.indeed.com/rc/clk?jk=939e76714fdc8047&fccid=f03a85dc12a1bd6e&vjs=3
58,[인텔리전스랩스] 데이터 분석가 (마케팅)의 전체 세부 정보,Nexon,,경기도 성남,https://kr.indeed.com/rc/clk?jk=460dc8ad3ad79208&fccid=aba87288e4cc3687&vjs=3
59,[미생물 진단] 알고리즘 개발팀 AI 엔지니어의 전체 세부 정보,에스유스카우트,정규직,서울 금천구,https://kr.indeed.com/rc/clk?jk=d66e52e2a5d099e5&fccid=093376428bff9c4b&vjs=3
60,공공기관 신입/경력의 전체 세부 정보,한국문화원연합회,신입공채 +1,서울 마포구,https://kr.indeed.com/rc/clk?jk=dd6fd659d08a4437&fccid=8dfb999f32dec81f&vjs=3
61,"데이터마이닝, 인공지능(AI) 외 경력의 전체 세부 정보",루벤티스,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=da437cb9cae31254&fccid=0513ee429c38f237&vjs=3
62,인공지능(AI) 엔지니어 신입/경력의 전체 세부 정보,아이에스오에스컨설팅,신입공채 +1,서울 금천구,https://kr.indeed.com/rc/clk?jk=49db4ad725c3c1a7&fccid=52c348f9323c4326&vjs=3
63,2023 서울시 뉴딜일자리 오픈소스SW 기반 AI 서비스플랫폼 개발자 양성과정 참여자의 전체 세부 정보,한국소프트웨어저작권협회,신입공채,서울 강남구,https://kr.indeed.com/rc/clk?jk=341acdc58167c229&fccid=3be173ccb834e78e&vjs=3
64,심리상담사의 전체 세부 정보,테키,신입공채 +1,서울 강남구,https://kr.indeed.com/rc/clk?jk=f0ffd47cfbb5b797&fccid=fa6fb87ab951e663&vjs=3
65,DT그룹 인턴사원의 전체 세부 정보,에스케이스페셜티,신입공채,서울,https://kr.indeed.com/rc/clk?jk=5bb88b636c0aeea6&fccid=056b41d707659c93&vjs=3
66,인공지능(AI) 기술 개발(신입)의 전체 세부 정보,(주)RGA Inc.,정규직,서울 강남역,https://kr.indeed.com/company/(%EC%A3%BC)RGA-Inc./jobs/%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5-95a7a9b4c00f9ada?fccid=dd616958bd9ddc12&vjs=3
67,[IN] AI Researcher / Engineer의 전체 세부 정보,올거나이즈코리아,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=63f6c91a5f2d5f8b&fccid=707decd4d5b2755e&vjs=3
68,인공지능 서비스개발(딥러닝)&데이터 분석 프로그램 개발자의 전체 세부 정보,플러그앤플레이,정규직 +1,서울 강남구,https://kr.indeed.com/rc/clk?jk=d401d7283e76c767&fccid=f33972086931c712&vjs=3
69,[미리캔버스] AI 엔지니어 (리더)의 전체 세부 정보,미리디,정규직,서울 구로구,https://kr.indeed.com/rc/clk?jk=16572f9b09fccf16&fccid=4cb72ca574a6bab7&vjs=3
70,파이프트리 스마트팜 데이터 AI연구원의 전체 세부 정보,파이프트리스마트팜,정규직,서울 강남구,https://kr.indeed.com/rc/clk?jk=daebedba9a79b500&fccid=91264d1b241643c2&vjs=3
71,[선행기술원] AI 모델 데이터 최적화 기술[책임연구원]의 전체 세부 정보,현대자동차그룹,정규직,성남 판교역,https://kr.indeed.com/rc/clk?jk=88f6c889d813f95e&fccid=980d6ecc399a3373&vjs=3
